nombre,longitude,latitude
El Ateneo Grand Splendid,-58.3942285,-34.59598329999999
Libros del Pasaje,-58.4297221,-34.5869479
Eterna Cadencia,-58.43615249999999,-34.5844254
Falena,-58.4482011,-34.5840726
Escaramuza,-56.1711185,-34.9065367
Bibliotheque,-74.00074760000001,40.72180819999999
Barnes & Noble,-73.9897209,40.7369679
The World's Borough Bookshop,-73.8935154,40.7525697
Libreria Barco De Papel Comunitaria,-73.88557209999999,40.74710899999999
Word Up Community Bookshop/Librería Comunitaria,-73.9382687,40.837733
Mandolina libros,-58.462432,-34.5563702
Dain Usina Cultural,-58.42766210000001,-34.5859661
Libreria Tiempos Modernos,-58.45315159999999,-34.5625078
El Ateneo Grand Splendid,-58.3942285,-34.5959833
El Jaúl Libros,-58.42304410000001,-34.594662
The Book Cellar & Henschel,-58.37248529999999,-34.60160829999999
Mercer Street Books & Records—recomendación de Jordan Salama,-73.9967088,40.72665749999999
Cúspide Libros,-58.41087539999999,-34.5814218
Books & Books,-80.2599664,25.7505441
La Central,2.1600191,41.3920582
Elocuente café y libros,-58.4384486,-34.5846239
Medio Pan y un Libro Libreria,-58.4623822,-34.5774054
la coleccionista libros,-58.462799,-34.5464534
Te Llamaré Viernes Libros+Vinos,-58.44603009999999,-34.5598359
Strand Book Store,-73.99095319999999,40.73325150000001
Backroom Bar,-58.426225,-34.586374
Burton's Bookstore,-72.360132,41.1022213
Dos Mangos,-74.80306809999999,11.0023859
Librería Nacional,-74.8055253,11.0021846
Librería Las Tres Cruces,-99.16497869999999,19.3459523
LIBRERÍA SUR,-77.0385254,-12.1070802
El Baúl del Libro,-68.1306544,-16.5049036
Libros A.Hernández,-3.7090718,40.4082453
Unnameable Books,-73.9682571,40.6788494
Rodney's Bookstore,-71.11985489999999,42.3745052
Del Otro Lado Libros,-60.70475010000001,-31.6427688

